ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CodigoDiretoria;NomeDiretoria;NomeEscola;NomeMunicipio;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MÉDIO
2021;11137;35011137;10704;OSASCO;NEWTON ESPIRITO SANTO AYRES PROFESSOR;OSASCO;;2,86;1,77
2021;11149;35011149;10704;OSASCO;LUCY ANNA CARROZO LATORRE PROFESSORA;OSASCO;;3,73;
2021;11150;35011150;20208;CARAGUATATUBA;JOSE CELESTINO ARANHA;UBATUBA;;2,72;
2021;11162;35011162;20208;CARAGUATATUBA;FLORENTINA MARTINS SANCHEZ PROFESSORA;UBATUBA;;2,58;1,65
2021;11186;35011186;20208;CARAGUATATUBA;SEMIRAMIS PRADO DE OLIVEIRA PROFESSORA;UBATUBA;;2,38;1,95
2021;11198;35011198;20208;CARAGUATATUBA;AUREA MOREIRA RACHOU PROFESSORA;UBATUBA;;2,31;1,98
2021;11204;35011204;20208;CARAGUATATUBA;PLINIO GONCALVES DE OLIVEIRA SANTOS;SAO SEBASTIAO;;;2,17
2021;11216;35011216;20208;CARAGUATATUBA;DEOLINDO DE OLIVEIRA SANTOS CAPITAO;UBATUBA;;;2,18
2021;11228;35011228;20208;CARAGUATATUBA;GABRIEL RIBEIRO DOS SANTOS DOUTOR;ILHABELA;;;2,47
2021;11253;35011253;20208;CARAGUATATUBA;ESTEVES DA SILVA DOUTOR;UBATUBA;;2,59;
2021;11265;35011265;20208;CARAGUATATUBA;WALKIR VERGANI;SAO SEBASTIAO;;;2,63
2021;11289;35011289;20208;CARAGUATATUBA;MARIA JOSE DA PENHA FRUGOLI PROFESSORA;SAO SEBASTIAO;;;1,8
2021;11290;35011290;20208;CARAGUATATUBA;EDUARDO CORREA DA COSTA JUNIOR DOUTOR;CARAGUATATUBA;;;3,04
2021;11320;35011320;20208;CARAGUATATUBA;THOMAZ RIBEIRO DE LIMA;CARAGUATATUBA;;;2,43
2021;11332;35011332;20208;CARAGUATATUBA;ALCIDES DE CASTRO GALVAO;CARAGUATATUBA;;;2,61
2021;11368;35011368;20208;CARAGUATATUBA;MAISA THEODORO DA SILVA PROFESSORA;SAO SEBASTIAO;;;2,25
2021;11373;35011373;20208;CARAGUATATUBA;NAIR FERREIRA NEVES PROFESSORA;SAO SEBASTIAO;;;2,33
2021;11381;35011381;20208;CARAGUATATUBA;BENEDITO MIGUEL CARLOTA;CARAGUATATUBA;;;1,95
2021;11393;35011393;20208;CARAGUATATUBA;AVELINO FERREIRA;CARAGUATATUBA;;;2,12
